Gene	Cell Type
CFTR	Cholangiocytes
CCKBR	Cholangiocytes
AQP4	Cholangiocytes
AQP1	Cholangiocytes
PIGR	Cholangiocytes
GGT1	Cholangiocytes
JAG1	Cholangiocytes
GPBAR1	Cholangiocytes
GGT7	Cholangiocytes
KRT19	Cholangiocytes
ONECUT2	Cholangiocytes
ALPL	Cholangiocytes
HNF1B	Cholangiocytes
ALB	Cholangiocytes
AGR2	Cholangiocytes
MUC3	Cholangiocytes
TFF3	Cholangiocytes
TFF1	Cholangiocytes
SOX9	Cholangiocytes
EPCAM	Cholangiocytes
CLDN4	Cholangiocytes
MMP7	Cholangiocytes
TFF2	Cholangiocytes
SCGB3A1	Cholangiocytes
FXYD2	Cholangiocytes
DEFB1	Cholangiocytes
LCN2	Cholangiocytes
CXCL1	Cholangiocytes
LGALS2	Cholangiocytes
TACSTD2	Cholangiocytes
ELF3	Cholangiocytes
SPP1	Cholangiocytes
MUC5B	Cholangiocytes
LGALS4	Cholangiocytes
CHAT	Cholinergic neurons
SLC18A3	Cholinergic neurons
ACHE	Cholinergic neurons
SLC5A7	Cholinergic neurons
TAC1	Cholinergic neurons
BRCA1	Cholinergic neurons
ACLY	Cholinergic neurons
PRG4	Chondrocytes
TNC	Chondrocytes
CRTAC1	Chondrocytes
CREB3L2	Chondrocytes
RUNX2	Chondrocytes
ACAN	Chondrocytes
COL2A1	Chondrocytes
COMP	Chondrocytes
MATN3	Chondrocytes
RUNX3	Chondrocytes
SOX6	Chondrocytes
BMP2	Chondrocytes
CTNNB1	Chondrocytes
FGF18	Chondrocytes
GLI3	Chondrocytes
PBX3	Chondrocytes
PTHLH	Chondrocytes
SMO	Chondrocytes
STAT1	Chondrocytes
MMP13	Chondrocytes
VEGFA	Chondrocytes
MATN1	Chondrocytes
COL9A1	Chondrocytes
COL10A1	Chondrocytes
IGF2	Chondrocytes
MIA	Chondrocytes
SDC3	Chondrocytes
EMP1	Chondrocytes
COL6A1	Chondrocytes
CYTL1	Chondrocytes
LCN2	Chondrocytes
LUM	Chondrocytes
GADD45B	Chondrocytes
SCRG1	Chondrocytes
HAPLN1	Chondrocytes
COL11A1	Chondrocytes
S100A9	Chondrocytes
CHAD	Chondrocytes
COL9A3	Chondrocytes
DLK1	Chondrocytes
S100A8	Chondrocytes
CHODL	Chondrocytes
ATF4	Chondrocytes
MGP	Chondrocytes
TCF4	Chondrocytes
VDR	Chondrocytes
ATRX	Chondrocytes
NOG	Chondrocytes
AGER	Chondrocytes
IL10RA	Chondrocytes
TTR	Choroid plexus cells
KL	Choroid plexus cells
SOSTDC1	Choroid plexus cells
CLIC6	Choroid plexus cells
SLC4A10	Choroid plexus cells
HTR2C	Choroid plexus cells
AQP1	Choroid plexus cells
SLC16A2	Choroid plexus cells
SLC4A2	Choroid plexus cells
SLC4A5	Choroid plexus cells
SLC31A1	Choroid plexus cells
CAR12	Choroid plexus cells
CLDN2	Choroid plexus cells
SLC13A4	Choroid plexus cells
SLC29A4	Choroid plexus cells
PRLR	Choroid plexus cells
CLDN1	Choroid plexus cells
SLC2A12	Choroid plexus cells
WFIKKN2	Choroid plexus cells
SLC23A2	Choroid plexus cells
SLC26A11	Choroid plexus cells
CHMP1A	Choroid plexus cells
SLC26A4	Chromaffin cells
AGRP	Chromaffin cells
IGF2	Chromaffin cells
SNAP25	Chromaffin cells
SLC18A2	Chromaffin cells
SNAPIN	Chromaffin cells
PNMT	Chromaffin cells
RAPGEF2	Chromaffin cells
SERPINE1	Chromaffin cells
GJD2	Chromaffin cells
CACNA1D	Chromaffin cells
PIK3C2A	Chromaffin cells
NCS1	Chromaffin cells
PLD1	Chromaffin cells
PLD2	Chromaffin cells
DOC2B	Chromaffin cells
UNC13A	Chromaffin cells
SLC18A1	Chromaffin cells
STX1A	Chromaffin cells
NPY	Chromaffin cells
NTRK1	Chromaffin cells
P2RY1	Chromaffin cells
SLC12A2	Chromaffin cells
CHGA	Chromaffin cells
PLAT	Chromaffin cells
SEC14L3	Ciliated cells
CCDC153	Ciliated cells
DYNLT1C	Ciliated cells
FAM161A	Ciliated cells
TMEM212	Ciliated cells
USMG5	Ciliated cells
CCDC181	Ciliated cells
CES1D	Ciliated cells
FOXJ1	Ciliated cells
CCDC17	Ciliated cells
CCDC39	Ciliated cells
FAM177A	Ciliated cells
ODF3B	Ciliated cells
CYP2S1	Ciliated cells
LRRC23	Ciliated cells
SCGB1A1	Ciliated cells
APPL2	Ciliated cells
TUBB4B	Ciliated cells
SYT2	Clara cells
CYP2E1	Clara cells
SCGB1A1	Clara cells
FOXM1	Clara cells
CYP2F2	Clara cells
CTSE	Clara cells
MUC5B	Clara cells
SCGB3A2	Clara cells
SFTPC	Clara cells
MUC1	Clara cells
CYP4B1	Clara cells
ALDH1A1	Clara cells
BPIFA1	Clara cells
SCGB3A1	Clara cells
MUC4	Clara cells
AHR	Clara cells
MMP28	Clara cells
LEPR	Clara cells
ERN1	Clara cells
SFTPA1	Clara cells
CARM1	Clara cells
CYP2B10	Clara cells
RAB3D	Clara cells
SFTPD	Clara cells
KCNE3	Crypt cells
KCNQ1	Crypt cells
OLFM4	Crypt cells
PROM1	Crypt cells
LGR5	Crypt cells
EPHB2	Crypt cells
ASCL2	Crypt cells
BMI1	Crypt cells
HOPX	Crypt cells
LRIG1	Crypt cells
TERT	Crypt cells
MSI1	Crypt cells
SMOC2	Crypt cells
TNFRSF19	Crypt cells
SLC12A2	Crypt cells
AXIN2	Crypt cells
XCL1	Decidual cells
IGFBP1	Decidual cells
CTSW	Decidual cells
TRDC	Decidual cells
KLRC1	Decidual cells
PRL	Decidual cells
CST7	Decidual cells
AREG	Decidual cells
PDX1	Delta cells
FFAR4	Delta cells
SST	Delta cells
PCSK9	Delta cells
RBP4	Delta cells
PAX4	Delta cells
RESP18	Delta cells
HHEX	Delta cells
ISL1	Delta cells
SCGN	Delta cells
KCNK16	Delta cells
IAPP	Delta cells
FXYD2	Delta cells
NPTX2	Delta cells
UCP2	Delta cells
LEPR	Delta cells
BAIAP3	Delta cells
CASR	Delta cells
BCHE	Delta cells
GABRB3	Delta cells
UNC5B	Delta cells
EDN3	Delta cells
PRG4	Delta cells
GHSR	Delta cells
FRZB	Delta cells
PCSK1	Delta cells
GABRG2	Delta cells
POU3F1	Delta cells
BHLHE41	Delta cells
EHF	Delta cells
LCORL	Delta cells
ETV1	Delta cells
IL6	Dendritic cells
CD86	Dendritic cells
CD83	Dendritic cells
CR2	Dendritic cells
TLR9	Dendritic cells
LAMP3	Dendritic cells
TREM2	Dendritic cells
FABP4	Dendritic cells
S100A9	Dendritic cells
ARG1	Dendritic cells
CLEC10A	Dendritic cells
DNASE1L3	Dendritic cells
CLEC9A	Dendritic cells
ETV6	Dendritic cells
CD163	Dendritic cells
CXCR4	Dendritic cells
VSIG4	Dendritic cells
NR4A3	Dendritic cells
CCR7	Dendritic cells
TRAF1	Dendritic cells
RELB	Dendritic cells
BATF3	Dendritic cells
CCL22	Dendritic cells
SLAMF7	Dendritic cells
XCR1	Dendritic cells
H2-DMA	Dendritic cells
CXCL16	Dendritic cells
SCIMP	Dendritic cells
FCGR2B	Dendritic cells
FGD2	Dendritic cells
RAB7B	Dendritic cells
NAAA	Dendritic cells
HCK	Dendritic cells
CD180	Dendritic cells
RETNLA	Dendritic cells
HFE	Dendritic cells
CCR2	Dendritic cells
RYR1	Dendritic cells
ITGAE	Dendritic cells
SEMA4A	Dendritic cells
DPP4	Dendritic cells
SLAMF8	Dendritic cells
CXCR3	Dendritic cells
BTLA	Dendritic cells
FLT3	Dendritic cells
TLR3	Dendritic cells
H2-M2	Dendritic cells
ITGAX	Dendritic cells
GPR132	Dendritic cells
ADAM19	Dendritic cells
AP1S3	Dendritic cells
ASS1	Dendritic cells
ADGRG5	Dendritic cells
GPR68	Dendritic cells
H2-EB2	Dendritic cells
KIT	Dendritic cells
KLRI1	Dendritic cells
KMO	Dendritic cells
P2RY10	Dendritic cells
RAB30	Dendritic cells
SEPT6	Dendritic cells
ZBTB46	Dendritic cells
S100A4	Dendritic cells
CLEC7A	Dendritic cells
AIF1	Dendritic cells
LST1	Dendritic cells
CTSS	Dendritic cells
CD209A	Dendritic cells
CD209B	Dendritic cells
IRF8	Dendritic cells
H2-AB1	Dendritic cells
ADGRE1	Dendritic cells
CCL17	Dendritic cells
CD14	Dendritic cells
CD207	Dendritic cells
CD8A	Dendritic cells
CX3CR1	Dendritic cells
H2-EB1	Dendritic cells
ITGAM	Dendritic cells
LY75	Dendritic cells
PDCD1LG2	Dendritic cells
PTPRC	Dendritic cells
SIRPA	Dendritic cells
AXL	Dendritic cells
PPP1R14A	Dendritic cells
CD22	Dendritic cells
DAB2	Dendritic cells
S100A8	Dendritic cells
VCAN	Dendritic cells
ANXA1	Dendritic cells
FCER1A	Dendritic cells
CADM1	Dendritic cells
CAMK2D	Dendritic cells
LGALS3	Dendritic cells
NAPSA	Dendritic cells
PLBD1	Dendritic cells
RNASE6	Dendritic cells
PLAC8	Dendritic cells
IFITM6	Dendritic cells
EAR2	Dendritic cells
H2AFY	Dendritic cells
SLC11A1	Dendritic cells
PDPN	Dendritic cells
S100B	Dendritic cells
CD28	Dendritic cells
PPL	Dendritic cells
SLURP1	Dendritic cells
SERPINB9	Dendritic cells
CLDN8	Distal tubule cells
SLC12A3	Distal tubule cells
UMOD	Distal tubule cells
JAG1	Distal tubule cells
CALB1	Distal tubule cells
PVALB	Distal tubule cells
PGAM2	Distal tubule cells
WNK4	Distal tubule cells
SGMS2	Distal tubule cells
SLC16A7	Distal tubule cells
LHX1	Distal tubule cells
ABCA13	Distal tubule cells
HOXB5OS	Distal tubule cells
EMX1	Distal tubule cells
TRPM6	Distal tubule cells
CWH43	Distal tubule cells
TRPM7	Distal tubule cells
UROC1	Distal tubule cells
TFRC	Distal tubule cells
LHX1OS	Distal tubule cells
TSC22D2	Distal tubule cells
LARP1B	Distal tubule cells
CLCNKB	Distal tubule cells
KLHL3	Distal tubule cells
KLK1	Distal tubule cells
KCNJ1	Distal tubule cells
HOXD8	Distal tubule cells
KL	Distal tubule cells
EGF	Distal tubule cells
TMEM213	Distal tubule cells
KNG2	Distal tubule cells
TMEM52B	Distal tubule cells
WFDC15B	Distal tubule cells
DEFB1	Distal tubule cells
FXYD2	Distal tubule cells
USMG5	Distal tubule cells
TRHDE	Distal tubule cells
KAP	Distal tubule cells
ACSM2	Distal tubule cells
KCNJ16	Distal tubule cells
RHCG	Distal tubule cells
SOSTDC1	Distal tubule cells
SCNN1A	Distal tubule cells
VDR	Distal tubule cells
WNK1	Distal tubule cells
SLC8A1	Distal tubule cells
AQP2	Distal tubule cells
AVPR2	Distal tubule cells
TH	Dopaminergic neurons
SLC6A3	Dopaminergic neurons
FOXA2	Dopaminergic neurons
KCNJ6	Dopaminergic neurons
NR4A2	Dopaminergic neurons
LMX1B	Dopaminergic neurons
CACNA2D2	Dopaminergic neurons
CADPS2	Dopaminergic neurons
CHRNA6	Dopaminergic neurons
MAPK8IP2	Dopaminergic neurons
NTN1	Dopaminergic neurons
PRKCG	Dopaminergic neurons
TENM1	Dopaminergic neurons
ZIM3	Dopaminergic neurons
DDC	Dopaminergic neurons
SLC18A2	Dopaminergic neurons
SLC18A3	Dopaminergic neurons
NEUROD6	Dopaminergic neurons
SMAD3	Dopaminergic neurons
PITX3	Dopaminergic neurons
CFTR	Ductal cells
HNF1B	Ductal cells
KRT20	Ductal cells
MUC1	Ductal cells
ONECUT1	Ductal cells
AMBP	Ductal cells
HHEX	Ductal cells
ANXA4	Ductal cells
SPP1	Ductal cells
PDX1	Ductal cells
CFB	Ductal cells
GDF15	Ductal cells
MMP7	Ductal cells
DEFB1	Ductal cells
SERPING1	Ductal cells
TSPAN8	Ductal cells
CLDN10	Ductal cells
SLPI	Ductal cells
SERPINA5	Ductal cells
PIGR	Ductal cells
CLDN1	Ductal cells
LGALS4	Ductal cells
PERP	Ductal cells
PDLIM3	Ductal cells
WFDC2	Ductal cells
SLC3A1	Ductal cells
AQP1	Ductal cells
ALDH1A3	Ductal cells
VTCN1	Ductal cells
KRT19	Ductal cells
TFF1	Ductal cells
TFF2	Ductal cells
KRT7	Ductal cells
CLDN4	Ductal cells
LAMB3	Ductal cells
TACSTD2	Ductal cells
CCL2	Ductal cells
CXCL2	Ductal cells
CTSH	Ductal cells
S100A10	Ductal cells
MYC	Embryonic stem cells
FOXD3	Embryonic stem cells
POU5F1	Embryonic stem cells
FUT4	Embryonic stem cells
ITGA4	Embryonic stem cells
CDH1	Embryonic stem cells
ABCG2	Embryonic stem cells
PODXL	Embryonic stem cells
ZIC1	Embryonic stem cells
PRDM5	Embryonic stem cells
ANO6	Embryonic stem cells
CDK8	Embryonic stem cells
SLC46A2	Embryonic stem cells
ZSCAN10	Embryonic stem cells
KCNIP3	Embryonic stem cells
PCGF2	Embryonic stem cells
NANOG	Embryonic stem cells
GAL	Embryonic stem cells
PITX2	Embryonic stem cells
BCL3	Embryonic stem cells
SALL4	Embryonic stem cells
DPPA5A	Embryonic stem cells
TDGF1	Embryonic stem cells
HOXB5	Embryonic stem cells
SUMO2	Embryonic stem cells
BNIP3	Embryonic stem cells
GJC1	Embryonic stem cells
TRIM6	Embryonic stem cells
PUM2	Embryonic stem cells
GJB4	Embryonic stem cells
SOX15	Embryonic stem cells
UTF1	Embryonic stem cells
GJB1	Embryonic stem cells
LMNA	Embryonic stem cells
FBXO15	Embryonic stem cells
PML	Embryonic stem cells
THY1	Embryonic stem cells
KIT	Embryonic stem cells
EPCAM	Embryonic stem cells
CD9	Embryonic stem cells
ITGB1	Embryonic stem cells
PROM1	Embryonic stem cells
PECAM1	Embryonic stem cells
ITGA6	Embryonic stem cells
FZD1	Embryonic stem cells
SOX2	Embryonic stem cells
KLF4	Embryonic stem cells
ZFP42	Embryonic stem cells
ZFX	Embryonic stem cells
TAF8	Embryonic stem cells
HMGA2	Embryonic stem cells
NACC1	Embryonic stem cells
NR6A1	Embryonic stem cells
STAT3	Embryonic stem cells
LEF1	Embryonic stem cells
L1TD1	Embryonic stem cells
GDF3	Embryonic stem cells
DPPA4	Embryonic stem cells
DPPA2	Embryonic stem cells
DPPA3	Embryonic stem cells
SMAD1	Embryonic stem cells
SMAD5	Embryonic stem cells
SMAD9	Embryonic stem cells
SMAD4	Embryonic stem cells
SMAD2	Embryonic stem cells
SMAD3	Embryonic stem cells
CTNNB1	Embryonic stem cells
HHEX	Embryonic stem cells
HES1	Embryonic stem cells
ESRRB	Embryonic stem cells
DNMT3B	Embryonic stem cells
TRIM28	Embryonic stem cells
PIWIL1	Embryonic stem cells
PIWIL2	Embryonic stem cells
PIWIL4	Embryonic stem cells
LIFR	Embryonic stem cells
IL6ST	Embryonic stem cells
ZSCAN4D	Embryonic stem cells
PECAM1	Endothelial cells
ICAM1	Endothelial cells
ITGB3	Endothelial cells
SELE	Endothelial cells
VCAM1	Endothelial cells
MCAM	Endothelial cells
PROCR	Endothelial cells
TEK	Endothelial cells
FLT4	Endothelial cells
APLN	Endothelial cells
VWF	Endothelial cells
NOS3	Endothelial cells
THBD	Endothelial cells
PLVAP	Endothelial cells
ACKR1	Endothelial cells
SLCO1C1	Endothelial cells
TMEM100	Endothelial cells
ADGRF5	Endothelial cells
ABCB1A	Endothelial cells
ABCG2	Endothelial cells
PODXL	Endothelial cells
NOSTRIN	Endothelial cells
MFSD2A	Endothelial cells
ACVRL1	Endothelial cells
AQP1	Endothelial cells
MYLK	Endothelial cells
RASIP1	Endothelial cells
FLI1	Endothelial cells
TIE1	Endothelial cells
APLNR	Endothelial cells
NRP2	Endothelial cells
ADAMTS1	Endothelial cells
RPRM	Endothelial cells
FABP4	Endothelial cells
GPIHBP1	Endothelial cells
FHL2	Endothelial cells
LOX	Endothelial cells
KLK1	Endothelial cells
ADORA2A	Endothelial cells
ARAP3	Endothelial cells
ARHGEF15	Endothelial cells
CARD10	Endothelial cells
CLEC14A	Endothelial cells
DLL4	Endothelial cells
ESM1	Endothelial cells
EXOC3L	Endothelial cells
GIMAP5	Endothelial cells
GJA4	Endothelial cells
MMRN2	Endothelial cells
NOTCH4	Endothelial cells
NPR1	Endothelial cells
PRKCH	Endothelial cells
RASGRP3	Endothelial cells
ROBO4	Endothelial cells
SCARF1	Endothelial cells
SOX18	Endothelial cells
SOX7	Endothelial cells
SPNS2	Endothelial cells
THSD1	Endothelial cells
APOLD1	Endothelial cells
EMP1	Endothelial cells
CD36	Endothelial cells
RNASE1	Endothelial cells
CTGF	Endothelial cells
HYAL2	Endothelial cells
CLEC4G	Endothelial cells
GPR182	Endothelial cells
F8	Endothelial cells
RBP7	Endothelial cells
CALCRL	Endothelial cells
FOXF1	Endothelial cells
CASZ1	Endothelial cells
AQP7	Endothelial cells
TCF15	Endothelial cells
CD300LG	Endothelial cells
BTNL9	Endothelial cells
MEOX2	Endothelial cells
ERG	Endothelial cells
HEXIM1	Endothelial cells
GLYCAM1	Endothelial cells
CD55	Endothelial cells
MMRN1	Endothelial cells
C7	Endothelial cells
RAMP3	Endothelial cells
VEGFC	Endothelial cells
GJA5	Endothelial cells
HEY1	Endothelial cells
RND1	Endothelial cells
BDP1	Endothelial cells
CD46	Endothelial cells
MEOX1	Endothelial cells
CCL19	Endothelial cells
CLCA3A1	Endothelial cells
MADCAM1	Endothelial cells
CYP1B1	Endothelial cells
IRX3	Endothelial cells
BIRC2	Endothelial cells
LYVE1	Endothelial cells
SEMA3D	Endothelial cells
SLCO1A4	Endothelial cells
EMCN	Endothelial cells
WFDC1	Endothelial cells
ADGRL4	Endothelial cells
VWA1	Endothelial cells
ECE1	Endothelial cells
PTPRB	Endothelial cells
CLDN5	Endothelial cells
CAR4	Endothelial cells
TBX1	Endothelial cells
SEMA7A	Endothelial cells
FOXF2	Endothelial cells
PDGFB	Endothelial cells
ECSCR	Endothelial cells
ELK3	Endothelial cells
CDH5	Endothelial cells
PLEC	Endothelial cells
STAB1	Endothelial cells
TGFBR2	Endothelial cells
CD93	Endothelial cells
CXCL1	Endothelial cells
LY6C1	Endothelial cells
RGS5	Endothelial cells
SLC7A5	Endothelial cells
ENG	Endothelial cells
KDR	Endothelial cells
SLC2A1	Endothelial cells
EGFL7	Endothelial cells
FLT1	Endothelial cells
EPAS1	Endothelial cells
EDNRB	Endothelial cells
KCNJ8	Endothelial cells
CD82	Endothelial cells
CHST1	Endothelial cells
PLAC8	Endothelial cells
TSPAN8	Endothelial cells
ETS1	Endothelial cells
CD34	Endothelial cells
PDPN	Endothelial cells
PROX1	Endothelial cells
EHD3	Endothelial cells
SRGN	Endothelial cells
S100A10	Endothelial cells
CLIC4	Endothelial cells
LY6A	Endothelial cells
USHBP1	Endothelial cells
MYF6	Endothelial cells
OIT3	Endothelial cells
IL1A	Endothelial cells
BMP2	Endothelial cells
C1QTNF1	Endothelial cells
PCDH12	Endothelial cells
DPP4	Endothelial cells
IGFBP7	Endothelial cells
PALMD	Endothelial cells
POSTN	Endothelial cells
BMX	Endothelial cells
SLC38A5	Endothelial cells
XDH	Endothelial cells
SPARC	Endothelial cells
MGLL	Endothelial cells
SLC9A3R2	Endothelial cells
RGCC	Endothelial cells
ICAM2	Endothelial cells
MGP	Endothelial cells
SPARCL1	Endothelial cells
TM4SF1	Endothelial cells
ID1	Endothelial cells
CD9	Endothelial cells
SRPX	Endothelial cells
ID3	Endothelial cells
CAV1	Endothelial cells
GNG11	Endothelial cells
HSPG2	Endothelial cells
CLEC1B	Endothelial cells
S100A13	Endothelial cells
CRHBP	Endothelial cells
IFI27	Endothelial cells
SGK1	Endothelial cells
DNASE1L3	Endothelial cells
LIFR	Endothelial cells
CDKN1C	Endothelial cells
INMT	Endothelial cells
PTGDS	Endothelial cells
TIMP3	Endothelial cells
GPM6A	Endothelial cells
FAM167B	Endothelial cells
LTC4S	Endothelial cells
STAB2	Endothelial cells
ITGA5	Endothelial cells (aorta)
TMTC2	Endothelial cells (aorta)
NR1D1	Endothelial cells (aorta)
HFE	Endothelial cells (aorta)
PKN3	Endothelial cells (aorta)
SULT1A1	Endothelial cells (aorta)
TMTC1	Endothelial cells (aorta)
SHE	Endothelial cells (aorta)
ITGBL1	Endothelial cells (aorta)
GRASP	Endothelial cells (aorta)
ENPP4	Endothelial cells (aorta)
ARHGEF15	Endothelial cells (aorta)
TMEM184B	Endothelial cells (aorta)
FOXC2	Endothelial cells (aorta)
DHH	Endothelial cells (aorta)
DENND5B	Endothelial cells (aorta)
KAZALD1	Endothelial cells (aorta)
FGD5	Endothelial cells (aorta)
FAS	Endothelial cells (aorta)
ITGB4	Endothelial cells (aorta)
EMILIN1	Endothelial cells (aorta)
MICAL2	Endothelial cells (aorta)
NKX2-3	Endothelial cells (aorta)
STXBP6	Endothelial cells (aorta)
SYNPO	Endothelial cells (aorta)
ATP2A3	Endothelial cells (aorta)
GIMAP4	Endothelial cells (aorta)
CMKLR1	Endothelial cells (aorta)
ITGA9	Endothelial cells (aorta)
SMAD6	Endothelial cells (aorta)
EFNB2	Endothelial cells (aorta)
LOX	Endothelial cells (aorta)
FZD4	Endothelial cells (aorta)
NTN1	Endothelial cells (aorta)
NPR1	Endothelial cells (aorta)
ARL4D	Endothelial cells (aorta)
HEY2	Endothelial cells (aorta)
HYAL2	Endothelial cells (aorta)
FKBP7	Endothelial cells (aorta)
NXN	Endothelial cells (aorta)
PDIA5	Endothelial cells (aorta)
APH1B	Endothelial cells (aorta)
GSTT1	Endothelial cells (aorta)
SOX18	Endothelial cells (aorta)
WBP1L	Endothelial cells (aorta)
LAMB2	Endothelial cells (aorta)
CHST12	Endothelial cells (aorta)
P3H3	Endothelial cells (aorta)
KLK10	Endothelial cells (aorta)
MALL	Endothelial cells (aorta)
CLEC1A	Endothelial cells (aorta)
MARVELD1	Endothelial cells (aorta)
FAM198B	Endothelial cells (aorta)
THBD	Endothelial cells (aorta)
NOS3	Endothelial cells (aorta)
TNS2	Endothelial cells (aorta)
ATL2	Endothelial cells (aorta)
ACKR3	Endothelial cells (aorta)
COL4A4	Endothelial cells (aorta)
CALCRL	Endothelial cells (aorta)
CAR8	Endothelial cells (aorta)
COL4A3	Endothelial cells (aorta)
PER3	Endothelial cells (aorta)
STAB1	Endothelial cells (aorta)
CYP1B1	Endothelial cells (aorta)
EPHX2	Endothelial cells (aorta)
KLK8	Endothelial cells (aorta)
BACE2	Endothelial cells (aorta)
BMP6	Endothelial cells (aorta)
ADH1	Endothelial cells (aorta)
H2-Q6	Endothelial cells (aorta)
SULF1	Endothelial cells (aorta)
CPQ	Endothelial cells (aorta)
PI16	Endothelial cells (aorta)
AMIGO2	Endothelial cells (aorta)
PTPRJ	Endothelial cells (aorta)
TRIM47	Endothelial cells (aorta)
LMCD1	Endothelial cells (aorta)
PDE3A	Endothelial cells (aorta)
BMX	Endothelial cells (aorta)
PROCR	Endothelial cells (aorta)
SMOC1	Endothelial cells (aorta)
CRACR2B	Endothelial cells (aorta)
GJA5	Endothelial cells (aorta)
BMP4	Endothelial cells (aorta)
SOD3	Endothelial cells (aorta)
ADH7	Endothelial cells (aorta)
PCOLCE2	Endothelial cells (aorta)
PTGIS	Endothelial cells (aorta)
ACE	Endothelial cells (aorta)
GXYLT2	Endothelial cells (aorta)
GKN3	Endothelial cells (aorta)
CYTL1	Endothelial cells (aorta)
EHD3	Endothelial cells (aorta)
ABCG2	Endothelial cells (blood brain barrier)
GFAP	Endothelial cells (blood brain barrier)
GPR37L1	Endothelial cells (blood brain barrier)
SLC13A4	Endothelial cells (blood brain barrier)
SLC19A1	Endothelial cells (blood brain barrier)
SLC23A2	Endothelial cells (blood brain barrier)
SLC38A3	Endothelial cells (blood brain barrier)
TNFRSF19	Endothelial cells (blood brain barrier)
TNFRSF21	Endothelial cells (blood brain barrier)
FOXF2	Endothelial cells (blood brain barrier)
FOXL2	Endothelial cells (blood brain barrier)
FOXQ1	Endothelial cells (blood brain barrier)
LEF1	Endothelial cells (blood brain barrier)
PPARD	Endothelial cells (blood brain barrier)
ZFP551	Endothelial cells (blood brain barrier)
ZIC3	Endothelial cells (blood brain barrier)
ALCAM	Endothelial cells (blood brain barrier)
GFRA3	Enteric glia cells
MPZ	Enteric glia cells
LGI4	Enteric glia cells
RGS16	Enteric glia cells
ALDH1A1	Enteric glia cells
L1CAM	Enteric glia cells
CXCL14	Enteric glia cells
DKK3	Enteric glia cells
INTS6	Enteric glia cells
DHRS3	Enteric glia cells
SOX10	Enteric glia cells
GFAP	Enteric glia cells
S100B	Enteric glia cells
NOS2	Enteric glia cells
FOXD3	Enteric glia cells
ALDH1A3	Enteric glia cells
SLC18A2	Enteric glia cells
HIVEP3	Enteric neurons
PLEKHA5	Enteric neurons
IGF2BP3	Enteric neurons
ARHGAP26	Enteric neurons
TTBK2	Enteric neurons
ASTN1	Enteric neurons
CACNA1E	Enteric neurons
TUB	Enteric neurons
FILIP1	Enteric neurons
GCNT2	Enteric neurons
VEZT	Enteric neurons
RET	Enteric neurons
AHDC1	Enteric neurons
MAP6	Enteric neurons
RGMB	Enteric neurons
FBXO7	Enteric neurons
PPP2R5B	Enteric neurons
SNX21	Enteric neurons
FSTL5	Enteric neurons
LIX1	Enteric neurons
RGS3	Enteric neurons
CYTH3	Enteric neurons
TSHZ1	Enteric neurons
STXBP5	Enteric neurons
ATF5	Enteric neurons
DMKN	Enteric neurons
CACNA1B	Enteric neurons
PIK3CA	Enteric neurons
ZDHHC2	Enteric neurons
MYL1	Enteric neurons
EML5	Enteric neurons
MFSD6	Enteric neurons
SCN7A	Enteric neurons
ARHGEF28	Enteric neurons
HAND2	Enteric neurons
VSTM2L	Enteric neurons
FAM19A5	Enteric neurons
EFNA5	Enteric neurons
HOXB4	Enteric neurons
TLX2	Enteric neurons
GOLGA7B	Enteric neurons
SLC18A3	Enteric neurons
TOX	Enteric neurons
CELF6	Enteric neurons
GPR22	Enteric neurons
PLCE1	Enteric neurons
CYB561	Enteric neurons
GFRA2	Enteric neurons
FLOT2	Enteric neurons
SLC7A14	Enteric neurons
JPH3	Enteric neurons
CASZ1	Enteric neurons
TAC1	Enteric neurons
SCN3A	Enteric neurons
CHRNA3	Enteric neurons
PARVA	Enteric neurons
SLC10A4	Enteric neurons
TM4SF4	Enteric neurons
FAM19A1	Enteric neurons
SLC5A7	Enteric neurons
PHOX2B	Enteric neurons
PIRT	Enteric neurons
HOXB5	Enteric neurons
HOXA5	Enteric neurons
GAL	Enteric neurons
CARTPT	Enteric neurons
NMU	Enteric neurons
VIP	Enteric neurons
CCK	Enteric neurons
REG4	Enterochromaffin cells
AFP	Enterochromaffin cells
SLC18A1	Enterochromaffin cells
LMX1A	Enterochromaffin cells
TRPA1	Enterochromaffin cells
FGF1	Enterochromaffin cells
PIEZO2	Enterochromaffin cells
ADGRG4	Enterochromaffin cells
ADM	Enterochromaffin cells
TPH1	Enterochromaffin cells
CRH	Enterochromaffin cells
GJB1	Enterochromaffin cells
GATA4	Enterocytes
LYPD8	Enterocytes
NLRP6	Enterocytes
KRT20	Enterocytes
MYO1A	Enterocytes
PPARG	Enterocytes
SLC15A1	Enterocytes
FLOT2	Enterocytes
APOBEC1	Enterocytes
PLIN3	Enterocytes
SLC10A2	Enterocytes
SLC40A1	Enterocytes
SLC5A1	Enterocytes
NPC1L1	Enterocytes
FABP1	Enterocytes
ANPEP	Enterocytes
CPS1	Enterocytes
DPP4	Enterocytes
SLC2A5	Enterocytes
ALPI	Enterocytes
FABP2	Enterocytes
LCT	Enterocytes
VIL1	Enterocytes
CLCA4B	Enterocytes
FUOM	Enterocytes
FAHD1	Enterocytes
OTC	Enterocytes
CDH17	Enterocytes
KHK	Enterocytes
ABHD11	Enterocytes
OLFR77	Enterocytes
VDR	Enterocytes
EHF	Enterocytes
