Gene	Cell_Type
GPIHBP1	Cardiomyocytes
AQP1	Cardiomyocytes
DMD	Cardiomyocytes
MFN2	Cardiomyocytes
ASB2	Cardiomyocytes
ART3	Cardiomyocytes
RRAD	Cardiomyocytes
ADPRHL1	Cardiomyocytes
JPH2	Cardiomyocytes
PYGM	Cardiomyocytes
HSPB7	Cardiomyocytes
MYOZ2	Cardiomyocytes
ENO3	Cardiomyocytes
TRDN	Cardiomyocytes
ACTN2	Cardiomyocytes
TNNI1	Cardiomyocytes
SMPX	Cardiomyocytes
MYL7	Cardiomyocytes
TBX20	Cardiomyocytes
TRIM63	Cardiomyocytes
MB	Cardiomyocytes
CTGF	Cardiomyocytes
MYL4	Cardiomyocytes
LOX	Cardiomyocytes
CTNNB1	Cardiomyocytes
CPT1A	Cardiomyocytes
SOX18	Cardiomyocytes
NOTCH1	Cardiomyocytes
SLN	Cardiomyocytes
CSRP3	Cardiomyocytes
TXLNB	Cardiomyocytes
ATP2A2	Cardiomyocytes
CKM	Cardiomyocytes
CKB	Cardiomyocytes
CXCR4	Cardiomyocytes
MITF	Cardiomyocytes
ZFPM2	Cardiomyocytes
BDNF	Cardiomyocytes
GJA5	Cardiomyocytes
FMOD	Cardiomyocytes
MTTP	Cardiomyocytes
SLC5A1	Cardiomyocytes
ADIPOQ	Cardiomyocytes
TRPV1	Cardiomyocytes
HAMP	Cardiomyocytes
SGPL1	Cardiomyocytes
HMGB2	Cardiomyocytes
STC1	Cardiomyocytes
FGF23	Cardiomyocytes
STRN	Cardiomyocytes
HEY2	Cardiomyocytes
ADIPOR1	Cardiomyocytes
ADIPOR2	Cardiomyocytes
PDE1A	Cardiomyocytes
BMP4	Cardiomyocytes
CASQ2	Cardiomyocytes
TPM1	Cardiomyocytes
SSTR2	Cholangiocytes
SLC4A2	Cholangiocytes
SCTR	Cholangiocytes
KRT7	Cholangiocytes
KCNN2	Cholangiocytes
ITGB4	Cholangiocytes
GGT6	Cholangiocytes
CFTR	Cholangiocytes
CCKBR	Cholangiocytes
AQP4	Cholangiocytes
AQP1	Cholangiocytes
PIGR	Cholangiocytes
GGT1	Cholangiocytes
JAG1	Cholangiocytes
GPBAR1	Cholangiocytes
GGT7	Cholangiocytes
KRT19	Cholangiocytes
ONECUT2	Cholangiocytes
ALPL	Cholangiocytes
HNF1B	Cholangiocytes
ALB	Cholangiocytes
AGR2	Cholangiocytes
MUC3	Cholangiocytes
TFF3	Cholangiocytes
TFF1	Cholangiocytes
SOX9	Cholangiocytes
EPCAM	Cholangiocytes
CLDN4	Cholangiocytes
MMP7	Cholangiocytes
TFF2	Cholangiocytes
SCGB3A1	Cholangiocytes
FXYD2	Cholangiocytes
DEFB1	Cholangiocytes
LCN2	Cholangiocytes
CXCL1	Cholangiocytes
LGALS2	Cholangiocytes
TACSTD2	Cholangiocytes
ELF3	Cholangiocytes
SPP1	Cholangiocytes
MUC5B	Cholangiocytes
LGALS4	Cholangiocytes
CHAT	Cholinergic_neurons
SLC18A3	Cholinergic_neurons
ACHE	Cholinergic_neurons
SLC5A7	Cholinergic_neurons
TAC1	Cholinergic_neurons
BRCA1	Cholinergic_neurons
ACLY	Cholinergic_neurons
PRG4	Chondrocytes
TNC	Chondrocytes
CRTAC1	Chondrocytes
CREB3L2	Chondrocytes
RUNX2	Chondrocytes
ACAN	Chondrocytes
COL2A1	Chondrocytes
COMP	Chondrocytes
MATN3	Chondrocytes
RUNX3	Chondrocytes
SOX6	Chondrocytes
BMP2	Chondrocytes
CTNNB1	Chondrocytes
FGF18	Chondrocytes
GLI3	Chondrocytes
PBX3	Chondrocytes
PTHLH	Chondrocytes
SMO	Chondrocytes
STAT1	Chondrocytes
MMP13	Chondrocytes
VEGFA	Chondrocytes
MATN1	Chondrocytes
COL9A1	Chondrocytes
COL10A1	Chondrocytes
IGF2	Chondrocytes
MIA	Chondrocytes
SDC3	Chondrocytes
EMP1	Chondrocytes
COL6A1	Chondrocytes
CYTL1	Chondrocytes
LCN2	Chondrocytes
LUM	Chondrocytes
GADD45B	Chondrocytes
SCRG1	Chondrocytes
HAPLN1	Chondrocytes
COL11A1	Chondrocytes
S100A9	Chondrocytes
CHAD	Chondrocytes
COL9A3	Chondrocytes
DLK1	Chondrocytes
S100A8	Chondrocytes
CHODL	Chondrocytes
ATF4	Chondrocytes
MGP	Chondrocytes
TCF4	Chondrocytes
VDR	Chondrocytes
ATRX	Chondrocytes
NOG	Chondrocytes
AGER	Chondrocytes
IL10RA	Chondrocytes
TTR	Choroid_plexus_cells
KL	Choroid_plexus_cells
SOSTDC1	Choroid_plexus_cells
CLIC6	Choroid_plexus_cells
SLC4A10	Choroid_plexus_cells
HTR2C	Choroid_plexus_cells
AQP1	Choroid_plexus_cells
SLC16A2	Choroid_plexus_cells
SLC4A2	Choroid_plexus_cells
SLC4A5	Choroid_plexus_cells
SLC31A1	Choroid_plexus_cells
CAR12	Choroid_plexus_cells
CLDN2	Choroid_plexus_cells
SLC13A4	Choroid_plexus_cells
SLC29A4	Choroid_plexus_cells
PRLR	Choroid_plexus_cells
CLDN1	Choroid_plexus_cells
SLC2A12	Choroid_plexus_cells
WFIKKN2	Choroid_plexus_cells
SLC23A2	Choroid_plexus_cells
SLC26A11	Choroid_plexus_cells
CHMP1A	Choroid_plexus_cells
SLC26A4	Chromaffin_cells
AGRP	Chromaffin_cells
IGF2	Chromaffin_cells
SNAP25	Chromaffin_cells
SLC18A2	Chromaffin_cells
SNAPIN	Chromaffin_cells
PNMT	Chromaffin_cells
RAPGEF2	Chromaffin_cells
SERPINE1	Chromaffin_cells
GJD2	Chromaffin_cells
CACNA1D	Chromaffin_cells
PIK3C2A	Chromaffin_cells
NCS1	Chromaffin_cells
PLD1	Chromaffin_cells
PLD2	Chromaffin_cells
DOC2B	Chromaffin_cells
UNC13A	Chromaffin_cells
SLC18A1	Chromaffin_cells
STX1A	Chromaffin_cells
NPY	Chromaffin_cells
NTRK1	Chromaffin_cells
P2RY1	Chromaffin_cells
SLC12A2	Chromaffin_cells
CHGA	Chromaffin_cells
PLAT	Chromaffin_cells
SEC14L3	Ciliated_cells
CCDC153	Ciliated_cells
DYNLT1C	Ciliated_cells
FAM161A	Ciliated_cells
TMEM212	Ciliated_cells
USMG5	Ciliated_cells
CCDC181	Ciliated_cells
CES1D	Ciliated_cells
FOXJ1	Ciliated_cells
CCDC17	Ciliated_cells
CCDC39	Ciliated_cells
FAM177A	Ciliated_cells
ODF3B	Ciliated_cells
CYP2S1	Ciliated_cells
LRRC23	Ciliated_cells
SCGB1A1	Ciliated_cells
APPL2	Ciliated_cells
TUBB4B	Ciliated_cells
SYT2	Clara_cells
CYP2E1	Clara_cells
SCGB1A1	Clara_cells
FOXM1	Clara_cells
CYP2F2	Clara_cells
CTSE	Clara_cells
MUC5B	Clara_cells
SCGB3A2	Clara_cells
SFTPC	Clara_cells
MUC1	Clara_cells
CYP4B1	Clara_cells
ALDH1A1	Clara_cells
BPIFA1	Clara_cells
SCGB3A1	Clara_cells
MUC4	Clara_cells
AHR	Clara_cells
MMP28	Clara_cells
LEPR	Clara_cells
ERN1	Clara_cells
SFTPA1	Clara_cells
CARM1	Clara_cells
CYP2B10	Clara_cells
RAB3D	Clara_cells
SFTPD	Clara_cells
KCNE3	Crypt_cells
KCNQ1	Crypt_cells
OLFM4	Crypt_cells
PROM1	Crypt_cells
LGR5	Crypt_cells
EPHB2	Crypt_cells
ASCL2	Crypt_cells
BMI1	Crypt_cells
HOPX	Crypt_cells
LRIG1	Crypt_cells
TERT	Crypt_cells
MSI1	Crypt_cells
SMOC2	Crypt_cells
TNFRSF19	Crypt_cells
SLC12A2	Crypt_cells
AXIN2	Crypt_cells
XCL1	Decidual_cells
IGFBP1	Decidual_cells
CTSW	Decidual_cells
TRDC	Decidual_cells
KLRC1	Decidual_cells
PRL	Decidual_cells
CST7	Decidual_cells
AREG	Decidual_cells
PDX1	Delta_cells
FFAR4	Delta_cells
SST	Delta_cells
PCSK9	Delta_cells
RBP4	Delta_cells
PAX4	Delta_cells
RESP18	Delta_cells
HHEX	Delta_cells
ISL1	Delta_cells
SCGN	Delta_cells
KCNK16	Delta_cells
IAPP	Delta_cells
FXYD2	Delta_cells
NPTX2	Delta_cells
UCP2	Delta_cells
LEPR	Delta_cells
BAIAP3	Delta_cells
CASR	Delta_cells
BCHE	Delta_cells
GABRB3	Delta_cells
UNC5B	Delta_cells
EDN3	Delta_cells
PRG4	Delta_cells
GHSR	Delta_cells
FRZB	Delta_cells
PCSK1	Delta_cells
GABRG2	Delta_cells
POU3F1	Delta_cells
BHLHE41	Delta_cells
EHF	Delta_cells
LCORL	Delta_cells
ETV1	Delta_cells
IL6	Dendritic_cells
CD86	Dendritic_cells
CD83	Dendritic_cells
CR2	Dendritic_cells
TLR9	Dendritic_cells
LAMP3	Dendritic_cells
TREM2	Dendritic_cells
FABP4	Dendritic_cells
S100A9	Dendritic_cells
ARG1	Dendritic_cells
CLEC10A	Dendritic_cells
DNASE1L3	Dendritic_cells
CLEC9A	Dendritic_cells
ETV6	Dendritic_cells
CD163	Dendritic_cells
CXCR4	Dendritic_cells
VSIG4	Dendritic_cells
NR4A3	Dendritic_cells
CCR7	Dendritic_cells
TRAF1	Dendritic_cells
RELB	Dendritic_cells
BATF3	Dendritic_cells
CCL22	Dendritic_cells
SLAMF7	Dendritic_cells
XCR1	Dendritic_cells
H2-DMA	Dendritic_cells
CXCL16	Dendritic_cells
SCIMP	Dendritic_cells
FCGR2B	Dendritic_cells
FGD2	Dendritic_cells
RAB7B	Dendritic_cells
NAAA	Dendritic_cells
HCK	Dendritic_cells
CD180	Dendritic_cells
RETNLA	Dendritic_cells
HFE	Dendritic_cells
CCR2	Dendritic_cells
RYR1	Dendritic_cells
ITGAE	Dendritic_cells
SEMA4A	Dendritic_cells
DPP4	Dendritic_cells
SLAMF8	Dendritic_cells
CXCR3	Dendritic_cells
BTLA	Dendritic_cells
FLT3	Dendritic_cells
TLR3	Dendritic_cells
H2-M2	Dendritic_cells
ITGAX	Dendritic_cells
GPR132	Dendritic_cells
ADAM19	Dendritic_cells
AP1S3	Dendritic_cells
ASS1	Dendritic_cells
ADGRG5	Dendritic_cells
GPR68	Dendritic_cells
H2-EB2	Dendritic_cells
KIT	Dendritic_cells
KLRI1	Dendritic_cells
KMO	Dendritic_cells
P2RY10	Dendritic_cells
RAB30	Dendritic_cells
SEPT6	Dendritic_cells
ZBTB46	Dendritic_cells
S100A4	Dendritic_cells
CLEC7A	Dendritic_cells
AIF1	Dendritic_cells
LST1	Dendritic_cells
CTSS	Dendritic_cells
CD209A	Dendritic_cells
CD209B	Dendritic_cells
IRF8	Dendritic_cells
H2-AB1	Dendritic_cells
ADGRE1	Dendritic_cells
CCL17	Dendritic_cells
CD14	Dendritic_cells
CD207	Dendritic_cells
CD8A	Dendritic_cells
CX3CR1	Dendritic_cells
H2-EB1	Dendritic_cells
ITGAM	Dendritic_cells
LY75	Dendritic_cells
PDCD1LG2	Dendritic_cells
PTPRC	Dendritic_cells
SIRPA	Dendritic_cells
AXL	Dendritic_cells
PPP1R14A	Dendritic_cells
CD22	Dendritic_cells
DAB2	Dendritic_cells
S100A8	Dendritic_cells
VCAN	Dendritic_cells
ANXA1	Dendritic_cells
FCER1A	Dendritic_cells
CADM1	Dendritic_cells
CAMK2D	Dendritic_cells
LGALS3	Dendritic_cells
NAPSA	Dendritic_cells
PLBD1	Dendritic_cells
RNASE6	Dendritic_cells
PLAC8	Dendritic_cells
IFITM6	Dendritic_cells
EAR2	Dendritic_cells
H2AFY	Dendritic_cells
SLC11A1	Dendritic_cells
PDPN	Dendritic_cells
S100B	Dendritic_cells
CD28	Dendritic_cells
PPL	Dendritic_cells
SLURP1	Dendritic_cells
SERPINB9	Dendritic_cells
CLDN8	Distal_tubule_cells
SLC12A3	Distal_tubule_cells
UMOD	Distal_tubule_cells
JAG1	Distal_tubule_cells
CALB1	Distal_tubule_cells
PVALB	Distal_tubule_cells
PGAM2	Distal_tubule_cells
WNK4	Distal_tubule_cells
SGMS2	Distal_tubule_cells
SLC16A7	Distal_tubule_cells
LHX1	Distal_tubule_cells
ABCA13	Distal_tubule_cells
HOXB5OS	Distal_tubule_cells
EMX1	Distal_tubule_cells
TRPM6	Distal_tubule_cells
CWH43	Distal_tubule_cells
TRPM7	Distal_tubule_cells
UROC1	Distal_tubule_cells
TFRC	Distal_tubule_cells
LHX1OS	Distal_tubule_cells
TSC22D2	Distal_tubule_cells
LARP1B	Distal_tubule_cells
CLCNKB	Distal_tubule_cells
KLHL3	Distal_tubule_cells
KLK1	Distal_tubule_cells
KCNJ1	Distal_tubule_cells
HOXD8	Distal_tubule_cells
KL	Distal_tubule_cells
EGF	Distal_tubule_cells
TMEM213	Distal_tubule_cells
KNG2	Distal_tubule_cells
TMEM52B	Distal_tubule_cells
WFDC15B	Distal_tubule_cells
DEFB1	Distal_tubule_cells
FXYD2	Distal_tubule_cells
USMG5	Distal_tubule_cells
TRHDE	Distal_tubule_cells
KAP	Distal_tubule_cells
ACSM2	Distal_tubule_cells
KCNJ16	Distal_tubule_cells
RHCG	Distal_tubule_cells
SOSTDC1	Distal_tubule_cells
SCNN1A	Distal_tubule_cells
VDR	Distal_tubule_cells
WNK1	Distal_tubule_cells
SLC8A1	Distal_tubule_cells
AQP2	Distal_tubule_cells
AVPR2	Distal_tubule_cells
TH	Dopaminergic_neurons
SLC6A3	Dopaminergic_neurons
FOXA2	Dopaminergic_neurons
KCNJ6	Dopaminergic_neurons
NR4A2	Dopaminergic_neurons
LMX1B	Dopaminergic_neurons
CACNA2D2	Dopaminergic_neurons
CADPS2	Dopaminergic_neurons
CHRNA6	Dopaminergic_neurons
MAPK8IP2	Dopaminergic_neurons
NTN1	Dopaminergic_neurons
PRKCG	Dopaminergic_neurons
TENM1	Dopaminergic_neurons
ZIM3	Dopaminergic_neurons
DDC	Dopaminergic_neurons
SLC18A2	Dopaminergic_neurons
SLC18A3	Dopaminergic_neurons
NEUROD6	Dopaminergic_neurons
SMAD3	Dopaminergic_neurons
PITX3	Dopaminergic_neurons
CFTR	Ductal_cells
HNF1B	Ductal_cells
KRT20	Ductal_cells
MUC1	Ductal_cells
ONECUT1	Ductal_cells
AMBP	Ductal_cells
HHEX	Ductal_cells
ANXA4	Ductal_cells
SPP1	Ductal_cells
PDX1	Ductal_cells
CFB	Ductal_cells
GDF15	Ductal_cells
MMP7	Ductal_cells
DEFB1	Ductal_cells
SERPING1	Ductal_cells
TSPAN8	Ductal_cells
CLDN10	Ductal_cells
SLPI	Ductal_cells
SERPINA5	Ductal_cells
PIGR	Ductal_cells
CLDN1	Ductal_cells
LGALS4	Ductal_cells
PERP	Ductal_cells
PDLIM3	Ductal_cells
WFDC2	Ductal_cells
SLC3A1	Ductal_cells
AQP1	Ductal_cells
ALDH1A3	Ductal_cells
VTCN1	Ductal_cells
KRT19	Ductal_cells
TFF1	Ductal_cells
TFF2	Ductal_cells
KRT7	Ductal_cells
CLDN4	Ductal_cells
LAMB3	Ductal_cells
TACSTD2	Ductal_cells
CCL2	Ductal_cells
CXCL2	Ductal_cells
CTSH	Ductal_cells
S100A10	Ductal_cells
MYC	Embryonic_stem_cells
FOXD3	Embryonic_stem_cells
POU5F1	Embryonic_stem_cells
FUT4	Embryonic_stem_cells
ITGA4	Embryonic_stem_cells
CDH1	Embryonic_stem_cells
ABCG2	Embryonic_stem_cells
PODXL	Embryonic_stem_cells
ZIC1	Embryonic_stem_cells
PRDM5	Embryonic_stem_cells
ANO6	Embryonic_stem_cells
CDK8	Embryonic_stem_cells
SLC46A2	Embryonic_stem_cells
ZSCAN10	Embryonic_stem_cells
KCNIP3	Embryonic_stem_cells
PCGF2	Embryonic_stem_cells
NANOG	Embryonic_stem_cells
GAL	Embryonic_stem_cells
PITX2	Embryonic_stem_cells
BCL3	Embryonic_stem_cells
SALL4	Embryonic_stem_cells
DPPA5A	Embryonic_stem_cells
TDGF1	Embryonic_stem_cells
HOXB5	Embryonic_stem_cells
SUMO2	Embryonic_stem_cells
BNIP3	Embryonic_stem_cells
GJC1	Embryonic_stem_cells
TRIM6	Embryonic_stem_cells
PUM2	Embryonic_stem_cells
GJB4	Embryonic_stem_cells
SOX15	Embryonic_stem_cells
UTF1	Embryonic_stem_cells
GJB1	Embryonic_stem_cells
LMNA	Embryonic_stem_cells
FBXO15	Embryonic_stem_cells
PML	Embryonic_stem_cells
THY1	Embryonic_stem_cells
KIT	Embryonic_stem_cells
EPCAM	Embryonic_stem_cells
CD9	Embryonic_stem_cells
ITGB1	Embryonic_stem_cells
PROM1	Embryonic_stem_cells
PECAM1	Embryonic_stem_cells
ITGA6	Embryonic_stem_cells
FZD1	Embryonic_stem_cells
SOX2	Embryonic_stem_cells
KLF4	Embryonic_stem_cells
ZFP42	Embryonic_stem_cells
ZFX	Embryonic_stem_cells
TAF8	Embryonic_stem_cells
HMGA2	Embryonic_stem_cells
NACC1	Embryonic_stem_cells
NR6A1	Embryonic_stem_cells
STAT3	Embryonic_stem_cells
LEF1	Embryonic_stem_cells
L1TD1	Embryonic_stem_cells
GDF3	Embryonic_stem_cells
DPPA4	Embryonic_stem_cells
DPPA2	Embryonic_stem_cells
DPPA3	Embryonic_stem_cells
SMAD1	Embryonic_stem_cells
SMAD5	Embryonic_stem_cells
SMAD9	Embryonic_stem_cells
SMAD4	Embryonic_stem_cells
SMAD2	Embryonic_stem_cells
SMAD3	Embryonic_stem_cells
CTNNB1	Embryonic_stem_cells
HHEX	Embryonic_stem_cells
HES1	Embryonic_stem_cells
ESRRB	Embryonic_stem_cells
DNMT3B	Embryonic_stem_cells
TRIM28	Embryonic_stem_cells
PIWIL1	Embryonic_stem_cells
PIWIL2	Embryonic_stem_cells
PIWIL4	Embryonic_stem_cells
LIFR	Embryonic_stem_cells
IL6ST	Embryonic_stem_cells
ZSCAN4D	Embryonic_stem_cells
PECAM1	Endothelial_cells
ICAM1	Endothelial_cells
ITGB3	Endothelial_cells
SELE	Endothelial_cells
VCAM1	Endothelial_cells
MCAM	Endothelial_cells
PROCR	Endothelial_cells
TEK	Endothelial_cells
FLT4	Endothelial_cells
APLN	Endothelial_cells
VWF	Endothelial_cells
NOS3	Endothelial_cells
THBD	Endothelial_cells
PLVAP	Endothelial_cells
ACKR1	Endothelial_cells
SLCO1C1	Endothelial_cells
TMEM100	Endothelial_cells
ADGRF5	Endothelial_cells
ABCB1A	Endothelial_cells
ABCG2	Endothelial_cells
PODXL	Endothelial_cells
NOSTRIN	Endothelial_cells
MFSD2A	Endothelial_cells
ACVRL1	Endothelial_cells
AQP1	Endothelial_cells
MYLK	Endothelial_cells
RASIP1	Endothelial_cells
FLI1	Endothelial_cells
TIE1	Endothelial_cells
APLNR	Endothelial_cells
NRP2	Endothelial_cells
ADAMTS1	Endothelial_cells
RPRM	Endothelial_cells
FABP4	Endothelial_cells
GPIHBP1	Endothelial_cells
FHL2	Endothelial_cells
LOX	Endothelial_cells
KLK1	Endothelial_cells
ADORA2A	Endothelial_cells
ARAP3	Endothelial_cells
ARHGEF15	Endothelial_cells
CARD10	Endothelial_cells
CLEC14A	Endothelial_cells
DLL4	Endothelial_cells
ESM1	Endothelial_cells
EXOC3L	Endothelial_cells
GIMAP5	Endothelial_cells
GJA4	Endothelial_cells
MMRN2	Endothelial_cells
NOTCH4	Endothelial_cells
NPR1	Endothelial_cells
PRKCH	Endothelial_cells
RASGRP3	Endothelial_cells
ROBO4	Endothelial_cells
SCARF1	Endothelial_cells
SOX18	Endothelial_cells
SOX7	Endothelial_cells
SPNS2	Endothelial_cells
THSD1	Endothelial_cells
APOLD1	Endothelial_cells
EMP1	Endothelial_cells
CD36	Endothelial_cells
RNASE1	Endothelial_cells
CTGF	Endothelial_cells
HYAL2	Endothelial_cells
CLEC4G	Endothelial_cells
GPR182	Endothelial_cells
F8	Endothelial_cells
RBP7	Endothelial_cells
CALCRL	Endothelial_cells
FOXF1	Endothelial_cells
CASZ1	Endothelial_cells
AQP7	Endothelial_cells
TCF15	Endothelial_cells
CD300LG	Endothelial_cells
BTNL9	Endothelial_cells
MEOX2	Endothelial_cells
ERG	Endothelial_cells
HEXIM1	Endothelial_cells
GLYCAM1	Endothelial_cells
CD55	Endothelial_cells
MMRN1	Endothelial_cells
C7	Endothelial_cells
RAMP3	Endothelial_cells
VEGFC	Endothelial_cells
GJA5	Endothelial_cells
HEY1	Endothelial_cells
RND1	Endothelial_cells
BDP1	Endothelial_cells
CD46	Endothelial_cells
MEOX1	Endothelial_cells
CCL19	Endothelial_cells
CLCA3A1	Endothelial_cells
MADCAM1	Endothelial_cells
CYP1B1	Endothelial_cells
IRX3	Endothelial_cells
BIRC2	Endothelial_cells
LYVE1	Endothelial_cells
SEMA3D	Endothelial_cells
SLCO1A4	Endothelial_cells
EMCN	Endothelial_cells
WFDC1	Endothelial_cells
ADGRL4	Endothelial_cells
VWA1	Endothelial_cells
ECE1	Endothelial_cells
PTPRB	Endothelial_cells
CLDN5	Endothelial_cells
CAR4	Endothelial_cells
TBX1	Endothelial_cells
SEMA7A	Endothelial_cells
FOXF2	Endothelial_cells
PDGFB	Endothelial_cells
ECSCR	Endothelial_cells
ELK3	Endothelial_cells
CDH5	Endothelial_cells
PLEC	Endothelial_cells
STAB1	Endothelial_cells
TGFBR2	Endothelial_cells
CD93	Endothelial_cells
CXCL1	Endothelial_cells
LY6C1	Endothelial_cells
RGS5	Endothelial_cells
SLC7A5	Endothelial_cells
ENG	Endothelial_cells
KDR	Endothelial_cells
SLC2A1	Endothelial_cells
EGFL7	Endothelial_cells
FLT1	Endothelial_cells
EPAS1	Endothelial_cells
EDNRB	Endothelial_cells
KCNJ8	Endothelial_cells
CD82	Endothelial_cells
CHST1	Endothelial_cells
PLAC8	Endothelial_cells
TSPAN8	Endothelial_cells
ETS1	Endothelial_cells
CD34	Endothelial_cells
PDPN	Endothelial_cells
PROX1	Endothelial_cells
EHD3	Endothelial_cells
SRGN	Endothelial_cells
S100A10	Endothelial_cells
CLIC4	Endothelial_cells
LY6A	Endothelial_cells
USHBP1	Endothelial_cells
MYF6	Endothelial_cells
OIT3	Endothelial_cells
IL1A	Endothelial_cells
BMP2	Endothelial_cells
C1QTNF1	Endothelial_cells
PCDH12	Endothelial_cells
DPP4	Endothelial_cells
IGFBP7	Endothelial_cells
PALMD	Endothelial_cells
POSTN	Endothelial_cells
BMX	Endothelial_cells
SLC38A5	Endothelial_cells
XDH	Endothelial_cells
SPARC	Endothelial_cells
MGLL	Endothelial_cells
SLC9A3R2	Endothelial_cells
RGCC	Endothelial_cells
ICAM2	Endothelial_cells
MGP	Endothelial_cells
SPARCL1	Endothelial_cells
TM4SF1	Endothelial_cells
ID1	Endothelial_cells
CD9	Endothelial_cells
SRPX	Endothelial_cells
ID3	Endothelial_cells
CAV1	Endothelial_cells
GNG11	Endothelial_cells
HSPG2	Endothelial_cells
CLEC1B	Endothelial_cells
S100A13	Endothelial_cells
CRHBP	Endothelial_cells
IFI27	Endothelial_cells
SGK1	Endothelial_cells
DNASE1L3	Endothelial_cells
LIFR	Endothelial_cells
CDKN1C	Endothelial_cells
INMT	Endothelial_cells
PTGDS	Endothelial_cells
TIMP3	Endothelial_cells
GPM6A	Endothelial_cells
FAM167B	Endothelial_cells
LTC4S	Endothelial_cells
STAB2	Endothelial_cells
ITGA5	Endothelial_cells_(aorta)
TMTC2	Endothelial_cells_(aorta)
NR1D1	Endothelial_cells_(aorta)
HFE	Endothelial_cells_(aorta)
PKN3	Endothelial_cells_(aorta)
SULT1A1	Endothelial_cells_(aorta)
TMTC1	Endothelial_cells_(aorta)
SHE	Endothelial_cells_(aorta)
ITGBL1	Endothelial_cells_(aorta)
GRASP	Endothelial_cells_(aorta)
ENPP4	Endothelial_cells_(aorta)
ARHGEF15	Endothelial_cells_(aorta)
TMEM184B	Endothelial_cells_(aorta)
FOXC2	Endothelial_cells_(aorta)
DHH	Endothelial_cells_(aorta)
DENND5B	Endothelial_cells_(aorta)
KAZALD1	Endothelial_cells_(aorta)
FGD5	Endothelial_cells_(aorta)
FAS	Endothelial_cells_(aorta)
ITGB4	Endothelial_cells_(aorta)
EMILIN1	Endothelial_cells_(aorta)
MICAL2	Endothelial_cells_(aorta)
NKX2-3	Endothelial_cells_(aorta)
STXBP6	Endothelial_cells_(aorta)
SYNPO	Endothelial_cells_(aorta)
ATP2A3	Endothelial_cells_(aorta)
GIMAP4	Endothelial_cells_(aorta)
CMKLR1	Endothelial_cells_(aorta)
ITGA9	Endothelial_cells_(aorta)
SMAD6	Endothelial_cells_(aorta)
EFNB2	Endothelial_cells_(aorta)
LOX	Endothelial_cells_(aorta)
FZD4	Endothelial_cells_(aorta)
NTN1	Endothelial_cells_(aorta)
NPR1	Endothelial_cells_(aorta)
ARL4D	Endothelial_cells_(aorta)
HEY2	Endothelial_cells_(aorta)
HYAL2	Endothelial_cells_(aorta)
FKBP7	Endothelial_cells_(aorta)
NXN	Endothelial_cells_(aorta)
PDIA5	Endothelial_cells_(aorta)
APH1B	Endothelial_cells_(aorta)
GSTT1	Endothelial_cells_(aorta)
SOX18	Endothelial_cells_(aorta)
WBP1L	Endothelial_cells_(aorta)
LAMB2	Endothelial_cells_(aorta)
CHST12	Endothelial_cells_(aorta)
P3H3	Endothelial_cells_(aorta)
KLK10	Endothelial_cells_(aorta)
MALL	Endothelial_cells_(aorta)
CLEC1A	Endothelial_cells_(aorta)
MARVELD1	Endothelial_cells_(aorta)
FAM198B	Endothelial_cells_(aorta)
THBD	Endothelial_cells_(aorta)
NOS3	Endothelial_cells_(aorta)
TNS2	Endothelial_cells_(aorta)
ATL2	Endothelial_cells_(aorta)
ACKR3	Endothelial_cells_(aorta)
COL4A4	Endothelial_cells_(aorta)
CALCRL	Endothelial_cells_(aorta)
CAR8	Endothelial_cells_(aorta)
COL4A3	Endothelial_cells_(aorta)
PER3	Endothelial_cells_(aorta)
STAB1	Endothelial_cells_(aorta)
CYP1B1	Endothelial_cells_(aorta)
EPHX2	Endothelial_cells_(aorta)
KLK8	Endothelial_cells_(aorta)
BACE2	Endothelial_cells_(aorta)
BMP6	Endothelial_cells_(aorta)
ADH1	Endothelial_cells_(aorta)
H2-Q6	Endothelial_cells_(aorta)
SULF1	Endothelial_cells_(aorta)
CPQ	Endothelial_cells_(aorta)
PI16	Endothelial_cells_(aorta)
AMIGO2	Endothelial_cells_(aorta)
PTPRJ	Endothelial_cells_(aorta)
TRIM47	Endothelial_cells_(aorta)
LMCD1	Endothelial_cells_(aorta)
PDE3A	Endothelial_cells_(aorta)
BMX	Endothelial_cells_(aorta)
PROCR	Endothelial_cells_(aorta)
SMOC1	Endothelial_cells_(aorta)
CRACR2B	Endothelial_cells_(aorta)
GJA5	Endothelial_cells_(aorta)
BMP4	Endothelial_cells_(aorta)
SOD3	Endothelial_cells_(aorta)
ADH7	Endothelial_cells_(aorta)
PCOLCE2	Endothelial_cells_(aorta)
PTGIS	Endothelial_cells_(aorta)
ACE	Endothelial_cells_(aorta)
GXYLT2	Endothelial_cells_(aorta)
GKN3	Endothelial_cells_(aorta)
CYTL1	Endothelial_cells_(aorta)
EHD3	Endothelial_cells_(aorta)
ABCG2	Endothelial_cells_(blood_brain_barrier)
GFAP	Endothelial_cells_(blood_brain_barrier)
GPR37L1	Endothelial_cells_(blood_brain_barrier)
SLC13A4	Endothelial_cells_(blood_brain_barrier)
SLC19A1	Endothelial_cells_(blood_brain_barrier)
SLC23A2	Endothelial_cells_(blood_brain_barrier)
SLC38A3	Endothelial_cells_(blood_brain_barrier)
TNFRSF19	Endothelial_cells_(blood_brain_barrier)
TNFRSF21	Endothelial_cells_(blood_brain_barrier)
